nct_id,brief_title,official_title,overall_status,start_date,completion_date,last_update,study_type,phase,enrollment,enrollment_type,allocation,intervention_model,primary_purpose,masking,condition,intervention_name,intervention_type,primary_outcome_count,secondary_outcome_count,min_age,max_age,sex,healthy_volunteers,lead_sponsor_name,lead_sponsor_class,collaborator_count,location_count,countries,trial_success,is_phase1,is_phase2,is_phase3,is_phase4,is_combined_phase,phase_numeric,is_oncology,is_autoimmune,is_cns,is_cardiovascular,condition_count,log_enrollment,enrollment_size,is_small_trial,is_actual_enrollment,is_industry_sponsor,is_academic_sponsor,is_big_pharma,has_collaborators,is_multisite,is_international,is_us_trial,is_europe_trial,is_randomized,is_blinded,is_treatment_purpose,is_parallel,total_outcome_count,has_secondary_outcomes,is_drug,is_biological,is_device,intervention_count,has_multiple_interventions,start_date_dt,completion_date_dt,study_duration_days,start_year,is_recent_trial,complexity_score,is_complex_trial
NCT04592419,"A Study to Evaluate the Efficacy, Durability, and Safety of KSI-301 Compared to Aflibercept in Patients With Macular Edema Due to Retinal Vein Occlusion (RVO)","A Prospective, Randomized, Double-masked, Active Comparator-controlled, Multi-center, Two-arm, Phase 3 Study to Evaluate the Efficacy and Safety of Intravitreal KSI-301 Compared With Intravitreal Aflibercept in Participants With Visual Impairment Due to Treatment-naïve Macular Edema Secondary to Retinal Vein Occlusion (RVO)",COMPLETED,2020-09-25,2023-01-19,2024-06-26,INTERVENTIONAL,PHASE3,568.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Macular Edema|Retinal Vein Occlusion,KSI-301|Aflibercept|Sham Procedure,DRUG|OTHER,2,8,18 Years,,ALL,False,Kodiak Sciences Inc,INDUSTRY,0,141,United States|Puerto Rico|Hungary|Slovakia|Latvia|France|Spain|Czechia|Italy|Germany|Poland|Israel,1.0,0,0,1,0,0,3.0,0,0,0,0,2,6.343880434126331,xlarge,0,1,1,0,0,0,1,1,1,1,1,1,1,1,10,1,1,0,0,3,1,2020-09-25,2023-01-19,846.0,2020.0,1,4,1
NCT00107419,S0423 Pemetrexed Disodium in Treating Patients With Recurrent and Unresectable or Metastatic Chondrosarcoma,Phase II Trial of Pemetrexed for Advanced Chondrosarcomas,COMPLETED,2005-09,2009-08,2012-01-18,INTERVENTIONAL,PHASE2,75.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Sarcoma,pemetrexed disodium,DRUG,1,2,18 Years,,ALL,False,SWOG Cancer Research Network,NETWORK,1,58,United States,1.0,0,1,0,0,0,2.0,1,0,0,0,1,4.330733340286331,medium,1,1,0,0,0,1,1,0,1,0,0,0,1,0,3,1,1,0,0,1,0,,,,,0,0,0
NCT02353728,Stem Cell Monitoring for CML Patients Undergoing Nilotinib Therapy,"Detection, Monitoring, and Molecular Characterization of Leukemic Stem Cells From Patients With Chronic Myeloid Leukemia (CML) Undergoing Therapy With Nilotinib",COMPLETED,2015-01,2021-02,2022-03-25,INTERVENTIONAL,PHASE2,16.0,ACTUAL,,SINGLE_GROUP,BASIC_SCIENCE,NONE,Chronic Myeloid Leukemia,Nilotinib,DRUG,1,0,18 Years,,ALL,False,Weill Medical College of Cornell University,OTHER,1,1,United States,1.0,0,1,0,0,0,2.0,1,0,0,0,1,2.833213344056216,small,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,,,,,0,0,0
NCT03513328,Conditioning Regimen for Allogeneic Hematopoietic Stem-Cell Transplantation,"PEDS024, Phase I/II Feasibility Study of Busulfan Fludarabine and Thiotepa Conditioning Regimen for Allogeneic Hematopoietic Stem-Cell Transplantation (HSCT) for Children With Non-Malignant Disorders",COMPLETED,2018-06-15,2023-02-19,2023-09-15,INTERVENTIONAL,PHASE1|PHASE2,6.0,ACTUAL,RANDOMIZED,SEQUENTIAL,TREATMENT,NONE,Bone Marrow Failure Syndrome|Thalassemia|Sickle Cell Disease|Diamond Blackfan Anemia|Acquired Neutropenia in Newborn|Acquired Anemia Hemolytic|Acquired Thrombocytopenia|Hemophagocytic Lymphohistiocytoses|Wiskott-Aldrich Syndrome|Chronic Granulomatous Disease|Common Variable Immunodeficiency|X-linked Lymphoproliferative Disease|Severe Combined Immunodeficiency|Hurler Syndrome|Mannosidosis|Adrenoleukodystrophy,Thiotepa--single daily dose|Thiotepa--escalated dose,DRUG,1,7,3 Months,39 Years,ALL,False,University of Florida,OTHER,1,1,United States,1.0,1,1,0,0,1,1.5,0,0,0,0,16,1.9459101490553132,small,1,1,0,1,0,1,0,0,1,0,1,0,1,0,8,1,1,0,0,2,1,2018-06-15,2023-02-19,1710.0,2018.0,1,4,1
NCT05181865,Phase 1/2a Study to Evaluate FL-301 in Patients With Advanced Solid Tumors,"A Phase 1/2a, First-In-Human, Open Label, Multicenter Study to Evaluate Safety, Tolerability, Pharmacokinetics, and Preliminary Efficacy of FL-301 in Patients With Advanced Solid Tumors",WITHDRAWN,2022-01,2022-01-18,2022-02-07,INTERVENTIONAL,PHASE1|PHASE2,0.0,ACTUAL,NON_RANDOMIZED,SEQUENTIAL,TREATMENT,NONE,Pancreas Cancer|Gastric Cancer|Solid Tumor,"1 mg/kg IV FL-301|3 mg/kg IV FL-301|10 mg/kg IV FL-301|20 mg/kg IV FL-301|30 mg/kg IV FL-301|RP2D, IV FL-301|RP2D, IV FL-301|RP2D, IV FL-301",DRUG,2,8,18 Years,,ALL,False,Flame Biosciences,INDUSTRY,0,0,,0.0,1,1,0,0,1,1.5,1,0,0,0,3,0.0,,1,1,1,0,0,0,0,0,0,0,0,0,1,0,10,1,1,0,0,8,1,,2022-01-18,,,0,4,1
NCT00877500,Ixabepilone in Treating Participants With Significant Residual Disease of HER2/Neu Negative Invasive Breast Cancer After Systemic Therapy,A Phase II Randomized Study of Ixabepilone vs. Observation in Patients With Significant Residual Disease After Neoadjuvant Systemic Therapy for HER2/Neu-Negative Breast Cancer,ACTIVE_NOT_RECRUITING,2009-03-30,2026-12-31,2025-11-10,INTERVENTIONAL,PHASE2,116.0,ESTIMATED,RANDOMIZED,PARALLEL,TREATMENT,NONE,Bilateral Breast Carcinoma|HER2/Neu Negative|Invasive Breast Carcinoma,Best Practice|Ixabepilone,DRUG|OTHER,2,2,18 Years,,ALL,False,M.D. Anderson Cancer Center,OTHER,1,3,United States,,0,1,0,0,0,2.0,1,0,0,0,3,4.762173934797756,medium,0,0,0,1,0,1,1,0,1,0,1,0,1,1,4,1,1,0,0,2,1,2009-03-30,2026-12-31,6485.0,2009.0,0,2,0
NCT02239692,A Trial Comparing the PICOPREP Tailored Dosing Schedule to the PICOPREP Day-before Dosing Schedule for Colon Cleansing in Preparation for Colonoscopy,"A Randomised, Assessor-blinded, Multi-centre Trial Comparing the Efficacy, Safety and Tolerability of the PICOPREP Tailored Dosing Schedule to the PICOPREP Day-before Dosing Schedule for Colon Cleansing in Preparation for Colonoscopy",COMPLETED,2014-11,2015-06,2016-06-23,INTERVENTIONAL,PHASE3,204.0,ACTUAL,RANDOMIZED,PARALLEL,,SINGLE,Bowel Cleansing,PICOPREP,DRUG,2,4,18 Years,,ALL,False,Ferring Pharmaceuticals,INDUSTRY,0,3,Germany|France|Netherlands,1.0,0,0,1,0,0,3.0,0,0,0,0,1,5.3230099791384085,large,0,1,1,0,0,0,1,1,0,1,1,0,0,1,6,1,1,0,0,1,0,,,,,0,2,0
NCT03101111,Study of a Live Attenuated Chikungunya Vaccine in a Previously Epidemic Area,Phase 2 Study of a Live Attenuated Measles Virus-Vectored Chikungunya Vaccine in a Previously Epidemic Area,COMPLETED,2017-08-09,2019-04-02,2021-07-19,INTERVENTIONAL,PHASE2,34.0,ACTUAL,RANDOMIZED,PARALLEL,PREVENTION,QUADRUPLE,Chikungunya,MV-CHIK|MMR-vaccine,BIOLOGICAL,1,1,21 Years,50 Years,ALL,True,Themis Bioscience GmbH,INDUSTRY,1,1,Puerto Rico,1.0,0,1,0,0,0,2.0,0,0,0,0,1,3.5553480614894135,small,1,1,1,0,0,1,0,0,0,0,1,1,0,1,2,1,0,1,0,2,1,2017-08-09,2019-04-02,601.0,2017.0,1,1,0
NCT04765371,"Comparison Between Prednisolone and Dexamethasone on Mortality in Patients on Oxygen Therapy, with CoViD-19","Comparison Between Prednisolone and Dexamethasone on D28 Mortality in Patients on Oxygen Therapy, with CoViD-19: Multicenter, Randomized, Open-label Non-inferiority Study",COMPLETED,2021-03-03,2022-02-10,2024-09-19,INTERVENTIONAL,PHASE3,89.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Coronavirus Infection,DEXAMETHASONE|PREDNISOLONE,DRUG,1,5,18 Years,,ALL,False,Hôpital NOVO,OTHER,0,8,France,1.0,0,0,1,0,0,3.0,0,0,0,0,1,4.499809670330265,medium,1,1,0,1,0,0,1,0,0,1,1,0,1,1,6,1,1,0,0,2,1,2021-03-03,2022-02-10,344.0,2021.0,1,2,0
NCT04756271,Safety and Immunogenicity of Oxford AstraZeneca Vaccine Against COVID-19 Infection,Safety and Immunogenicity of Oxford AstraZeneca Vaccine in Zagazig University Hospital Health-care Workers,COMPLETED,2021-02-11,2021-12-22,2022-02-09,INTERVENTIONAL,PHASE3,246.0,ACTUAL,,SINGLE_GROUP,PREVENTION,NONE,Vaccine Adverse Reaction|Seroconversion,SARS-Cov-2 neutralizing antibody titer,BIOLOGICAL,2,0,18 Years,,ALL,True,Zagazig University,OTHER_GOV,0,1,Egypt,1.0,0,0,1,0,0,3.0,0,0,0,0,2,5.5093883366279774,large,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2021-02-11,2021-12-22,314.0,2021.0,1,1,0
NCT01828034,"First Line Gemcitabine, Cisplatin and MEK162 in Advanced Biliary Tract Carcinoma","A Phase I/II Study of First Line Gemcitabine, Cisplatin and MEK162 in Advanced Biliary Tract Carcinoma",COMPLETED,2013-04,2019-05-30,2020-11-17,INTERVENTIONAL,PHASE1|PHASE2,42.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Advanced Biliary Tract Carcinoma,Gemcitabine|Cisplatin|MEK162,DRUG,3,3,18 Years,,ALL,False,Memorial Sloan Kettering Cancer Center,OTHER,1,1,United States,1.0,1,1,0,0,1,1.5,1,0,0,0,1,3.7612001156935624,small,1,1,0,1,0,1,0,0,1,0,0,0,1,0,6,1,1,0,0,3,1,,2019-05-30,,,0,3,1
NCT04618744,A Study to Assess the Safety and Efficacy of Oral Insulin in T2DM Patients With Nonalcoholic Steatohepatitis (NASH),"A Double-Blind, Randomized, Placebo-controlled, Multi-center Study to Assess the Safety and Efficacy of Oral Insulin to Reduce Liver Fat Content in Type 2 Diabetes Patients With Nonalcoholic Steatohepatitis (NASH)",COMPLETED,2020-11-24,2022-06-27,2024-08-07,INTERVENTIONAL,PHASE2,32.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2|NASH - Nonalcoholic Steatohepatitis",ORMD-0801 (Insulin) capsule 8 mg BD|Placebo,DRUG|OTHER,1,20,18 Years,70 Years,ALL,False,"Oramed, Ltd.",INDUSTRY,1,3,Israel|United States,1.0,0,1,0,0,0,2.0,0,0,0,0,2,3.4965075614664802,small,1,1,1,0,0,1,1,1,1,0,1,1,1,1,21,1,1,0,0,2,1,2020-11-24,2022-06-27,580.0,2020.0,1,4,1
NCT00653744,Rosuvastatin Versus Atorvastatin in the Treatment of Hypercholesterolaemia in African American Subjects(ARIES),"A 6-Week, Randomized, Open-Label, Comparative Study to Evaluate the Efficacy and Safety of Rosuvastatin Versus Atorvastatin in the Treatment of Hypercholesterolaemia in African American Subjects. (ARIES)",COMPLETED,2002-03,2004-03,2009-03-16,INTERVENTIONAL,PHASE3,1700.0,ESTIMATED,RANDOMIZED,PARALLEL,TREATMENT,NONE,Hypercholesterolemia|Dyslipidaemia,Rosuvastatin|Atorvastatin,DRUG,1,2,18 Years,,ALL,False,AstraZeneca,INDUSTRY,0,0,,1.0,0,0,1,0,0,3.0,0,0,0,0,2,7.438971592395862,xlarge,0,0,1,0,1,0,0,0,0,0,1,0,1,1,3,1,1,0,0,2,1,,,,,0,2,0
NCT03031444,Perioperative Chemotherapy Plus Cetuximab Versus Chemotherapy Alone for High Risk Resectable Colorectal Liver Metastasis,A Multicenter Study of Prognosis and the Efficacy Comparison of Perioperative Chemotherapy Plus Cetuximab Versus Chemotherapy Alone for High Risk Patients(Clinical Risk Score≥3) of Resectable Colorectal Liver Metastasis,COMPLETED,2016-01,2020-12-30,2021-02-01,INTERVENTIONAL,PHASE2|PHASE3,135.0,ACTUAL,NON_RANDOMIZED,PARALLEL,TREATMENT,NONE,Colorectal Cancer Stage IV|Metastasis,Cetuximab plus FOLFIRI/FOLFOX|FOLFIRI/FOLFOX/CapeOX,DRUG,1,2,18 Years,80 Years,ALL,False,Peking University Cancer Hospital & Institute,OTHER,4,4,China,1.0,0,1,1,0,1,2.5,1,0,0,0,2,4.912654885736052,medium,0,1,0,1,0,1,1,0,0,0,0,0,1,1,3,1,1,0,0,2,1,,2020-12-30,,,0,3,1
NCT00811434,Study of Lactulose in Children With Chronic Liver Disease,Improvement of Cognitive Function and Healthcare -Related Quality of Life After Lactulose Treatment in Children With Chronic Liver Disease,TERMINATED,2009-01,2010-11,2014-02-10,INTERVENTIONAL,PHASE2,16.0,ACTUAL,RANDOMIZED,CROSSOVER,TREATMENT,TRIPLE,Minimal Hepatic Encephalopathy,Lactulose|placebo,DRUG,1,2,5 Years,18 Years,ALL,False,Indiana University,OTHER,0,1,United States,0.0,0,1,0,0,0,2.0,0,0,0,0,1,2.833213344056216,small,1,1,0,1,0,0,0,0,1,0,1,1,1,0,3,1,1,0,0,2,1,,,,,0,1,0
NCT03037164,INTERCEPT Blood System for RBCs Study in Regions at Potential Risk for Zika Virus Transfusion-Transmitted Infections,"Randomized, Double-Blind, Controlled, Parallel Group Study With the INTERCEPT Blood System for RBCs in Regions at Potential Risk for Zika Virus Transfusion-Transmitted Infections and Treatment Use Open-Label Extension Study",ACTIVE_NOT_RECRUITING,2017-05-11,2026-12-30,2025-11-10,INTERVENTIONAL,PHASE3,692.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Anemia,INTERCEPT Blood System for Red Blood Cells|Conventional (Control),DEVICE,3,8,4 Years,,ALL,False,Cerus Corporation,INDUSTRY,0,16,Puerto Rico|Turkey (Türkiye)|United States,,0,0,1,0,0,3.0,0,0,0,0,1,6.541029999189903,xlarge,0,1,1,0,0,0,1,1,1,0,1,1,1,1,11,1,0,0,1,2,1,2017-05-11,2026-12-30,3520.0,2017.0,1,3,1
NCT03830164,"Pentoxifylline, Atorvastatin, and Vitamin E in Treating Patients With Erectile Dysfunction After Radiation Therapy for Prostate Cancer","Pentoxifylline, Atorvastatin, and Vitamin E (PAVE) as Treatment for Radiation-Induced Erectile Dysfunction",COMPLETED,2019-11-20,2022-11-02,2023-10-17,INTERVENTIONAL,PHASE2,14.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,"Male Erectile Disorder|Prostate Adenocarcinoma|Erectile Dysfunction, CTCAE|Impotence",Atorvastatin|Pentoxifylline|Vitamin E Compound,DRUG|DIETARY_SUPPLEMENT,1,2,18 Years,,MALE,False,M.D. Anderson Cancer Center,OTHER,1,1,United States,1.0,0,1,0,0,0,2.0,1,0,0,0,4,2.70805020110221,small,1,1,0,1,0,1,0,0,1,0,0,0,1,0,3,1,1,0,0,3,1,2019-11-20,2022-11-02,1078.0,2019.0,1,2,0
NCT04476199,Venetoclax and Decitabine Assessment in Patients (≥60 - <75 Years) with Newly Diagnosed AML Eligible for Allo-SCT,Phase II Study on Venetoclax (VEN) Plus Decitabine (DEC) (VEN-DEC) for Elderly (≥60 <75years) Patients with Newly Diagnosed Acute Myeloid Leukemia (AML) Elegible for Allogeneic Stem Cell Transplantation (allo-SCT),ACTIVE_NOT_RECRUITING,2019-12-09,2025-06-30,2025-01-06,INTERVENTIONAL,PHASE2,100.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Acute Myeloid Leukemia,Venetoclax and Decitabine,COMBINATION_PRODUCT,7,0,60 Years,75 Years,ALL,False,Gruppo Italiano Trapianto di Midollo Osseo,OTHER,0,25,Italy,,0,1,0,0,0,2.0,1,0,0,0,1,4.61512051684126,medium,0,1,0,1,0,0,1,0,0,1,0,0,1,0,7,0,0,0,0,1,0,2019-12-09,2025-06-30,2030.0,2019.0,1,1,0
NCT00398099,To Evaluate the Treatment Effect of an Anti-Infective Agent for Different Kinds of Infections (0826-052),"Clinical Evaluation for the Efficacy, Safety, Tolerability & Medical Resource Utilization of Invanz (Ertapenem Sodium) Therapy",COMPLETED,2005-07,2006-01,2017-02-17,INTERVENTIONAL,PHASE3,30.0,,NON_RANDOMIZED,SINGLE_GROUP,TREATMENT,NONE,Infection|Pneumonia|Urinary Tract Infection,"MK0826, ertapenem sodium / Duration of Treatment: 14 Days",DRUG,1,1,20 Years,,ALL,False,Merck Sharp & Dohme LLC,INDUSTRY,0,0,,1.0,0,0,1,0,0,3.0,0,0,0,0,3,3.4339872044851463,small,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,0,,,,,0,1,0
