nct_id,brief_title,official_title,overall_status,start_date,completion_date,last_update,study_type,phase,enrollment,enrollment_type,allocation,intervention_model,primary_purpose,masking,condition,intervention_name,intervention_type,primary_outcome_count,secondary_outcome_count,min_age,max_age,sex,healthy_volunteers,lead_sponsor_name,lead_sponsor_class,collaborator_count,location_count,countries
NCT02353728,Stem Cell Monitoring for CML Patients Undergoing Nilotinib Therapy,"Detection, Monitoring, and Molecular Characterization of Leukemic Stem Cells From Patients With Chronic Myeloid Leukemia (CML) Undergoing Therapy With Nilotinib",COMPLETED,2015-01,2021-02,2022-03-25,INTERVENTIONAL,PHASE2,16.0,ACTUAL,,SINGLE_GROUP,BASIC_SCIENCE,NONE,Chronic Myeloid Leukemia,Nilotinib,DRUG,1,0,18 Years,,ALL,False,Weill Medical College of Cornell University,OTHER,1,1,United States
NCT03513328,Conditioning Regimen for Allogeneic Hematopoietic Stem-Cell Transplantation,"PEDS024, Phase I/II Feasibility Study of Busulfan Fludarabine and Thiotepa Conditioning Regimen for Allogeneic Hematopoietic Stem-Cell Transplantation (HSCT) for Children With Non-Malignant Disorders",COMPLETED,2018-06-15,2023-02-19,2023-09-15,INTERVENTIONAL,PHASE1|PHASE2,6.0,ACTUAL,RANDOMIZED,SEQUENTIAL,TREATMENT,NONE,Bone Marrow Failure Syndrome|Thalassemia|Sickle Cell Disease|Diamond Blackfan Anemia|Acquired Neutropenia in Newborn|Acquired Anemia Hemolytic|Acquired Thrombocytopenia|Hemophagocytic Lymphohistiocytoses|Wiskott-Aldrich Syndrome|Chronic Granulomatous Disease|Common Variable Immunodeficiency|X-linked Lymphoproliferative Disease|Severe Combined Immunodeficiency|Hurler Syndrome|Mannosidosis|Adrenoleukodystrophy,Thiotepa--single daily dose|Thiotepa--escalated dose,DRUG,1,7,3 Months,39 Years,ALL,False,University of Florida,OTHER,1,1,United States
NCT02239692,A Trial Comparing the PICOPREP Tailored Dosing Schedule to the PICOPREP Day-before Dosing Schedule for Colon Cleansing in Preparation for Colonoscopy,"A Randomised, Assessor-blinded, Multi-centre Trial Comparing the Efficacy, Safety and Tolerability of the PICOPREP Tailored Dosing Schedule to the PICOPREP Day-before Dosing Schedule for Colon Cleansing in Preparation for Colonoscopy",COMPLETED,2014-11,2015-06,2016-06-23,INTERVENTIONAL,PHASE3,204.0,ACTUAL,RANDOMIZED,PARALLEL,,SINGLE,Bowel Cleansing,PICOPREP,DRUG,2,4,18 Years,,ALL,False,Ferring Pharmaceuticals,INDUSTRY,0,3,Germany|France|Netherlands
NCT03101111,Study of a Live Attenuated Chikungunya Vaccine in a Previously Epidemic Area,Phase 2 Study of a Live Attenuated Measles Virus-Vectored Chikungunya Vaccine in a Previously Epidemic Area,COMPLETED,2017-08-09,2019-04-02,2021-07-19,INTERVENTIONAL,PHASE2,34.0,ACTUAL,RANDOMIZED,PARALLEL,PREVENTION,QUADRUPLE,Chikungunya,MV-CHIK|MMR-vaccine,BIOLOGICAL,1,1,21 Years,50 Years,ALL,True,Themis Bioscience GmbH,INDUSTRY,1,1,Puerto Rico
NCT04765371,"Comparison Between Prednisolone and Dexamethasone on Mortality in Patients on Oxygen Therapy, with CoViD-19","Comparison Between Prednisolone and Dexamethasone on D28 Mortality in Patients on Oxygen Therapy, with CoViD-19: Multicenter, Randomized, Open-label Non-inferiority Study",COMPLETED,2021-03-03,2022-02-10,2024-09-19,INTERVENTIONAL,PHASE3,89.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Coronavirus Infection,DEXAMETHASONE|PREDNISOLONE,DRUG,1,5,18 Years,,ALL,False,Hôpital NOVO,OTHER,0,8,France
NCT04756271,Safety and Immunogenicity of Oxford AstraZeneca Vaccine Against COVID-19 Infection,Safety and Immunogenicity of Oxford AstraZeneca Vaccine in Zagazig University Hospital Health-care Workers,COMPLETED,2021-02-11,2021-12-22,2022-02-09,INTERVENTIONAL,PHASE3,246.0,ACTUAL,,SINGLE_GROUP,PREVENTION,NONE,Vaccine Adverse Reaction|Seroconversion,SARS-Cov-2 neutralizing antibody titer,BIOLOGICAL,2,0,18 Years,,ALL,True,Zagazig University,OTHER_GOV,0,1,Egypt
NCT01828034,"First Line Gemcitabine, Cisplatin and MEK162 in Advanced Biliary Tract Carcinoma","A Phase I/II Study of First Line Gemcitabine, Cisplatin and MEK162 in Advanced Biliary Tract Carcinoma",COMPLETED,2013-04,2019-05-30,2020-11-17,INTERVENTIONAL,PHASE1|PHASE2,42.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Advanced Biliary Tract Carcinoma,Gemcitabine|Cisplatin|MEK162,DRUG,3,3,18 Years,,ALL,False,Memorial Sloan Kettering Cancer Center,OTHER,1,1,United States
NCT04618744,A Study to Assess the Safety and Efficacy of Oral Insulin in T2DM Patients With Nonalcoholic Steatohepatitis (NASH),"A Double-Blind, Randomized, Placebo-controlled, Multi-center Study to Assess the Safety and Efficacy of Oral Insulin to Reduce Liver Fat Content in Type 2 Diabetes Patients With Nonalcoholic Steatohepatitis (NASH)",COMPLETED,2020-11-24,2022-06-27,2024-08-07,INTERVENTIONAL,PHASE2,32.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2|NASH - Nonalcoholic Steatohepatitis",ORMD-0801 (Insulin) capsule 8 mg BD|Placebo,DRUG|OTHER,1,20,18 Years,70 Years,ALL,False,"Oramed, Ltd.",INDUSTRY,1,3,United States|Israel
NCT03031444,Perioperative Chemotherapy Plus Cetuximab Versus Chemotherapy Alone for High Risk Resectable Colorectal Liver Metastasis,A Multicenter Study of Prognosis and the Efficacy Comparison of Perioperative Chemotherapy Plus Cetuximab Versus Chemotherapy Alone for High Risk Patients(Clinical Risk Score≥3) of Resectable Colorectal Liver Metastasis,COMPLETED,2016-01,2020-12-30,2021-02-01,INTERVENTIONAL,PHASE2|PHASE3,135.0,ACTUAL,NON_RANDOMIZED,PARALLEL,TREATMENT,NONE,Colorectal Cancer Stage IV|Metastasis,Cetuximab plus FOLFIRI/FOLFOX|FOLFIRI/FOLFOX/CapeOX,DRUG,1,2,18 Years,80 Years,ALL,False,Peking University Cancer Hospital & Institute,OTHER,4,4,China
NCT03830164,"Pentoxifylline, Atorvastatin, and Vitamin E in Treating Patients With Erectile Dysfunction After Radiation Therapy for Prostate Cancer","Pentoxifylline, Atorvastatin, and Vitamin E (PAVE) as Treatment for Radiation-Induced Erectile Dysfunction",COMPLETED,2019-11-20,2022-11-02,2023-10-17,INTERVENTIONAL,PHASE2,14.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,"Male Erectile Disorder|Prostate Adenocarcinoma|Erectile Dysfunction, CTCAE|Impotence",Atorvastatin|Pentoxifylline|Vitamin E Compound,DRUG|DIETARY_SUPPLEMENT,1,2,18 Years,,MALE,False,M.D. Anderson Cancer Center,OTHER,1,1,United States
NCT03970109,HLAB-002 of ANS-6637 for Alcohol Use Disorder,Human Laboratory Study of ANS-6637 for Alcohol Use Disorder,TERMINATED,2019-10-08,2020-05-22,2024-10-29,INTERVENTIONAL,PHASE2,43.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Alcohol Use Disorder,ANS-6637|Placebo oral tablet,DRUG,1,16,21 Years,,ALL,False,National Institute on Alcohol Abuse and Alcoholism (NIAAA),NIH,0,3,United States
NCT01276509,Study To Test Whether PF-00547659 Is Safe And Improves Disease Symptoms In Patients With Crohn's Disease,"A Double-blind, Randomized, Placebo-controlled, Dose-ranging Study To Evaluate The Efficacy And Safety Of Pf-00547659 In Subjects With Crohn's Disease (Opera)",COMPLETED,2011-04-06,2015-10-09,2021-06-03,INTERVENTIONAL,PHASE2,265.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Crohn's Disease,PF-00547659 SC injection|PF-00547659 SC injection|PF-00547659 SC injection|PF-00547659 SC injection,DRUG,1,12,18 Years,75 Years,ALL,False,Shire,INDUSTRY,0,137,Canada|United States|Japan|Belgium|Spain|Norway|South Korea|Slovakia|France|Poland|Austria|Germany|Netherlands|Serbia|South Africa|Bulgaria
NCT03199963,Trial of 4-Hydroxytamoxifen (4-OHT) Gel in Women Aimed at Reducing Dense Breast Tissue,"A Randomized, Double-blind, Placebo Controlled Trial of 4-Hydroxytamoxifen Gel for Reducing Breast Tissue Density in Women With BI-RADS Breast Density Categories C or D",TERMINATED,2017-08-21,2019-04-23,2022-07-26,INTERVENTIONAL,PHASE3,223.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Mammographic Breast Density,4-OH tamoxifen|Placebo,DRUG,1,6,35 Years,75 Years,FEMALE,False,"BHR Pharma, LLC",INDUSTRY,0,19,Germany|United States|Spain
NCT00737893,Erythropoietin to Enhance Recovery of Erectile Function in Men Following Radical Prostatectomy,Erythropoietin to Enhance Recovery of Erectile Function in Men Following Radical Prostatectomy: a Prospective Randomized Controlled Trial (ERECT),COMPLETED,2017-07-01,2019-12-31,2021-04-08,INTERVENTIONAL,PHASE2,56.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,TRIPLE,Prostate Cancer|Erectile Dysfunction,Placebo|Erythropoietin (EPO),DRUG,1,21,40 Years,65 Years,MALE,False,Johns Hopkins University,OTHER,0,1,United States
NCT05008393,Efficacy of PJS-539 for Adult Patients With COVID-19.,"Efficacy of PJS-539 for Adult Patients With SARS-CoV-2: Multicentre, Phase 2, Randomized, Double-blind, Placebo-controlled Clinical Trial.",COMPLETED,2021-09-25,2022-03-04,2022-04-12,INTERVENTIONAL,PHASE2,153.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Covid19|COVID-19 Pneumonia,PJS-539 Dose 1|PJS-539 Dose 2|Placebo,DRUG,1,6,18 Years,,ALL,False,Hospital do Coracao,OTHER,1,1,Brazil
NCT01762904,Residual Effect of Chlorhexidine-alcohol Compared to Triclosan-alcohol,Residual Effect of Chlorhexidine 2% / Isopropyl Alcohol 70% Compared to Triclosan 1% / Isopropyl Alcohol 70%,COMPLETED,2013-01,2013-10,2014-07-02,INTERVENTIONAL,PHASE3,135.0,ACTUAL,,SINGLE_GROUP,PREVENTION,SINGLE,Infectious Diseases,Bacterial culture of the prepared skin's areas with two antiseptics and two controls|Preparing skin's areas to be tested with two antiseptics and two controls,OTHER,3,1,18 Years,,ALL,True,Universidad de Guanajuato,OTHER,1,1,Mexico
NCT03136484,Efficacy and Safety of Semaglutide Versus Canagliflozin as add-on to Metformin in Subjects With Type 2 Diabetes,Efficacy and Safety of Semaglutide Versus Canagliflozin as add-on to Metformin in Subjects With Type 2 Diabetes,COMPLETED,2017-03-15,2018-11-16,2020-01-21,INTERVENTIONAL,PHASE3,788.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes|Diabetes Mellitus, Type 2",Semaglutide|Canagliflozin|Placebo (canagliflozin)|Placebo (semaglutide),DRUG,1,60,18 Years,,ALL,False,Novo Nordisk A/S,INDUSTRY,0,119,Canada|United States|Italy|United Kingdom|Ireland|Argentina|Lebanon|Sweden|Mexico|India|Malaysia|Brazil
NCT04224584,A Mechanism Based Proof of Concept Study of the Effects of Duloxetine in the Treatment of Patients With Osteoarthritic Knee Pain,A Mechanism Based Proof of Concept Study of the Effects of Duloxetine in the Treatment of Patients With Osteoarthritic Knee Pain,COMPLETED,2020-01-01,2021-07-01,2022-02-16,INTERVENTIONAL,PHASE2,40.0,ACTUAL,RANDOMIZED,CROSSOVER,BASIC_SCIENCE,TRIPLE,"Osteoarthritis, Knee",Duloxetine|Placebo oral tablet,DRUG,1,0,40 Years,75 Years,ALL,False,Kristian Kjær Petersen,OTHER,2,1,Denmark
NCT02542514,Study of Ibrutinib in Patients With Relapsed or Refractory Primary Central Nervous Lymphoma or Intraocular Lymphoma,Phase II Study of Ibrutinib in Patients With Relapsed or Refractory Primary Central Nervous Lymphoma or Intraocular Lymphoma,COMPLETED,2015-09,2021-12-01,2022-04-14,INTERVENTIONAL,PHASE2,52.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Primary Central Nervous Lymphoma|Intraocular Lymphoma,Ibrutinib,DRUG,1,7,18 Years,,ALL,False,The Lymphoma Academic Research Organisation,OTHER,0,10,France
NCT01839916,Donor T Cells After Donor Stem Cell Transplant in Treating Patients With Hematologic Malignancies,Pilot Study of Prophylactic Dose-Escalation Donor Lymphocyte Infusion After T Cell Depleted Allogeneic Stem Cell Transplant in High Risk Patients With Hematologic Malignancies,COMPLETED,2013-04-04,2018-08,2019-08-07,INTERVENTIONAL,PHASE2,77.0,ACTUAL,,SINGLE_GROUP,TREATMENT,NONE,Accelerated Phase Chronic Myelogenous Leukemia|Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities|Adult Acute Myeloid Leukemia With Del(5q)|Adult Acute Myeloid Leukemia With Inv(16)(p13;q22)|Adult Acute Myeloid Leukemia With t(15;17)(q22;q12)|Adult Acute Myeloid Leukemia With t(16;16)(p13;q22)|Adult Acute Myeloid Leukemia With t(8;21)(q22;q22)|Adult Nasal Type Extranodal NK/T-cell Lymphoma|Anaplastic Large Cell Lymphoma|Angioimmunoblastic T-cell Lymphoma|Blastic Phase Chronic Myelogenous Leukemia|Childhood Burkitt Lymphoma|Childhood Chronic Myelogenous Leukemia|Childhood Diffuse Large Cell Lymphoma|Childhood Immunoblastic Large Cell Lymphoma|Childhood Myelodysplastic Syndromes|Childhood Nasal Type Extranodal NK/T-cell Lymphoma|Chronic Phase Chronic Myelogenous Leukemia|Cutaneous B-cell Non-Hodgkin Lymphoma|de Novo Myelodysplastic Syndromes|Extranodal Marginal Zone B-cell Lymphoma of Mucosa-associated Lymphoid Tissue|Hepatosplenic T-cell Lymphoma|Intraocular Lymphoma|Nodal Marginal Zone B-cell Lymphoma|Noncutaneous Extranodal Lymphoma|Peripheral T-cell Lymphoma|Post-transplant Lymphoproliferative Disorder|Previously Treated Myelodysplastic Syndromes|Recurrent Adult Acute Lymphoblastic Leukemia|Recurrent Adult Acute Myeloid Leukemia|Recurrent Adult Burkitt Lymphoma|Recurrent Adult Diffuse Large Cell Lymphoma|Recurrent Adult Diffuse Mixed Cell Lymphoma|Recurrent Adult Diffuse Small Cleaved Cell Lymphoma|Recurrent Adult Grade III Lymphomatoid Granulomatosis|Recurrent Adult Hodgkin Lymphoma|Recurrent Adult Immunoblastic Large Cell Lymphoma|Recurrent Adult Lymphoblastic Lymphoma|Recurrent Adult T-cell Leukemia/Lymphoma|Recurrent Childhood Acute Lymphoblastic Leukemia|Recurrent Childhood Acute Myeloid Leukemia|Recurrent Childhood Anaplastic Large Cell Lymphoma|Recurrent Childhood Grade III Lymphomatoid Granulomatosis|Recurrent Childhood Large Cell Lymphoma|Recurrent Childhood Lymphoblastic Lymphoma|Recurrent Childhood Small Noncleaved Cell Lymphoma|Recurrent Cutaneous T-cell Non-Hodgkin Lymphoma|Recurrent Grade 1 Follicular Lymphoma|Recurrent Grade 2 Follicular Lymphoma|Recurrent Grade 3 Follicular Lymphoma|Recurrent Mantle Cell Lymphoma|Recurrent Marginal Zone Lymphoma|Recurrent Mycosis Fungoides/Sezary Syndrome|Recurrent Small Lymphocytic Lymphoma|Recurrent/Refractory Childhood Hodgkin Lymphoma|Refractory Chronic Lymphocytic Leukemia|Refractory Hairy Cell Leukemia|Relapsing Chronic Myelogenous Leukemia|Secondary Myelodysplastic Syndromes|Small Intestine Lymphoma|Splenic Marginal Zone Lymphoma|T-cell Large Granular Lymphocyte Leukemia|Testicular Lymphoma|Waldenström Macroglobulinemia,therapeutic allogeneic lymphocytes|laboratory biomarker analysis,OTHER|BIOLOGICAL,1,5,14 Years,75 Years,ALL,False,University of Chicago,OTHER,1,1,United States
NCT02379806,The SYMPTOMS - SYstematic Elderly Medical Patients Thromboprophylaxis: Efficacy on Symptomatic OutcoMeS - Study,Prevention of Symptomatic Venous Thromboembolism by Low Molecular Weight Heparin in Hospitalized Medical Patients Aged 70 Years and Older : a Randomized Placebo-Controlled Study The SYMPTOMS (SYstematic Elderly Medical Patients Thromboprophylaxis : Efficacy on Symptomatic OutcoMeS) Study,COMPLETED,2015-09-03,2020-12-29,2022-07-05,INTERVENTIONAL,PHASE3,2560.0,ACTUAL,RANDOMIZED,PARALLEL,PREVENTION,DOUBLE,Venous Thromboembolism,Enoxaparin|Placebo,DRUG,1,1,70 Years,,ALL,False,"University Hospital, Brest",OTHER,0,46,Switzerland|France
NCT06022406,Fecal Microbiota Translantation (FMT) to Reduce Inflammation in PLWH: The Gutsy Pilot Study,Fecal Microbiota Transplantation to Reduce Immune Activation in ART-treated People Living With HIV With Low CD4/CD8 Ratio: The Gutsy Study,COMPLETED,2024-07-31,2025-08-13,2025-09-03,INTERVENTIONAL,PHASE2,20.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,SINGLE,HIV-1-infection,FMT capsules|Placebo capsules,BIOLOGICAL,1,17,18 Years,,ALL,False,Jean-Pierre Routy,OTHER,1,1,Canada
NCT02639533,Brain Response to Single Dose of Pregabalin in Fibromyalgia,"Pregabalin Acute Effects on Cortical Excitability, Psychophysical Parameters, and Serum Markers of Neuroplastic Processes in Fibromyalgia: a Placebo Controlled, Double Blinded, Randomized, Crossover Clinical Trial",COMPLETED,2014-12,2017-01,2018-02-08,INTERVENTIONAL,PHASE2|PHASE3,27.0,ACTUAL,RANDOMIZED,CROSSOVER,BASIC_SCIENCE,QUADRUPLE,Fibromyalgia,Pregabalin|Placebo,DRUG|OTHER,2,7,18 Years,65 Years,FEMALE,True,Hospital de Clinicas de Porto Alegre,OTHER,3,0,
NCT02834052,Pembrolizumab + Poly-ICLC in MRP Colon Cancer,A Phase I/II Trial of Pembrolizumab (MK-3475) and Poly-ICLC in Patients With Metastatic Mismatch Repair-proficient (MRP) Colon Cancer,COMPLETED,2018-01-10,2022-07-29,2024-06-07,INTERVENTIONAL,PHASE1|PHASE2,42.0,ACTUAL,NON_RANDOMIZED,SINGLE_GROUP,TREATMENT,NONE,Metastatic Colon Cancer|Solid Tumor,pembrolizumab|Poly-ICLC,DRUG,3,3,18 Years,,ALL,False,Asha Nayak,OTHER,2,1,United States
NCT02931175,ACTH as A Re-emerging theRapy for Uveitis (The ACTHAR Study),"An Open-label, Multi-center, Randomized, Phase II Study of the Safety,Efficacy and Bioactivity of Two Dose Regimens of Subcutaneous Injections of ACTH Gel in Patients With Non-infectious Uveitis",COMPLETED,2017-11-10,2021-10-28,2025-12-17,INTERVENTIONAL,PHASE2,28.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Uveitis,ACTH gel,DRUG,2,16,18 Years,,ALL,False,Quan Dong Nguyen,OTHER,1,7,United States
NCT02581657,"Study to Assess the Safety, Tolerability, PK and PD Response of PE0139 Injection in Adult Subjects With T2DM","Phase 2a Multicenter, Randomized, Double-blind, Placebo-controlled, Multiple Ascending Dose Study to Assess the Safety, Tolerability, Pharmacokinetic and Pharmacodynamic Response of PE0139 Injection in Adult Subjects With Type 2 Diabetes Mellitus",COMPLETED,2015-10,2016-11,2018-04-10,INTERVENTIONAL,PHASE2,37.0,ACTUAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,PE0139 Injection|Placebo Injection,DRUG,1,14,18 Years,80 Years,ALL,False,PhaseBio Pharmaceuticals Inc.,INDUSTRY,0,6,United States
